policy,t_s,queue_p99_s,engine_p99_s,thrash_per_s
CLIMB,81.0,0.0007802724838256837,0.04214675426483155,1.0
CLIMB,82.0,0.000778963565826416,0.03986143112182617,1.0
CLIMB,83.0,0.000778963565826416,0.03986143112182617,0.0
CLIMB,84.0,0.0007790088653564453,0.03987793922424317,0.0
CLIMB,85.0,0.000779571533203125,0.03988344192504883,1.0
CLIMB,86.0,0.000779571533203125,0.03988344192504883,1.0
CLIMB,87.0,0.0007283115386962891,0.03989046573638916,0.0
CLIMB,88.0,0.0007283115386962891,0.03989046573638916,1.0
CLIMB,89.0,0.000728302001953125,0.03921648025512695,2.0
CLIMB,90.0,0.0007282924652099609,0.039215316772460936,1.0
CLIMB,91.0,0.0007282924652099609,0.039215316772460936,2.0
CLIMB,92.0,0.0006892871856689453,0.03730057716369629,2.0
CLIMB,93.0,0.0007058668136596679,0.04355505466461181,2.0
CLIMB,94.0,0.0007056927680969238,0.04351468801498413,3.0
CLIMB,95.0,0.0007061481475830079,0.04347432136535644,0.0
CLIMB,96.0,0.0007061481475830079,0.04347432136535644,2.0
CLIMB,97.0,0.0007181930541992188,0.04343395471572876,1.0
CLIMB,98.0,0.0007181930541992188,0.04343395471572876,1.0
CLIMB,99.0,0.00071915864944458,0.04366417407989502,2.0
CLIMB,100.0,0.0007791900634765625,0.04366417407989502,2.0
CLIMB,101.0,0.0007790565490722656,0.04364938735961914,0.0
CLIMB,102.0,0.0007778453826904296,0.04361981391906738,1.0
CLIMB,103.0,0.0007790565490722656,0.04222142696380615,0.0
CLIMB,104.0,0.0007796621322631836,0.04223114252090454,1.0
CLIMB,105.0,0.0010016202926635743,0.04222142696380615,4.0
CLIMB,106.0,0.0010016202926635743,0.04222142696380615,1.0
CLIMB,107.0,0.001004025936126709,0.04223114252090454,0.0
CLIMB,108.0,0.001004025936126709,0.04223114252090454,2.0
CLIMB,109.0,0.0013146686553955078,0.03760411262512207,1.0
CLIMB,110.0,0.0013019657135009764,0.04024487257003784,0.0
CLIMB,111.0,0.0012987899780273436,0.04313013076782227,2.0
CLIMB,112.0,0.0013019657135009764,0.043336834907531735,1.0
CLIMB,113.0,0.0013019657135009764,0.043336834907531735,3.0
CLIMB,114.0,0.0012987899780273436,0.043321390151977536,2.0
CLIMB,115.0,0.001265778541564941,0.043321390151977536,2.0
CLIMB,116.0,0.001265778541564941,0.043321390151977536,4.0
CLIMB,117.0,0.0012547111511230467,0.04329050064086914,2.0
CLIMB,118.0,0.0012436437606811524,0.04325961112976074,1.0
CLIMB,119.0,0.0007757902145385741,0.04330594539642334,2.0
CLIMB,120.0,0.0007800984382629395,0.04336772441864014,1.0
CLIMB,121.0,0.0007831406593322754,0.04184493780136109,0.0
CLIMB,122.0,0.0007825279235839843,0.04212519645690918,0.0
CLIMB,123.0,0.0007806897163391113,0.04429734945297241,1.0
CLIMB,124.0,0.0007813024520874023,0.04432053089141846,0.0
CLIMB,125.0,0.0007261180877685547,0.044366893768310545,0.0
CLIMB,126.0,0.000726325511932373,0.04439007520675659,0.0
CLIMB,127.0,0.0007267403602600098,0.04443643808364868,1.0
CLIMB,128.0,0.0007280158996582031,0.04445961952209473,2.0
CLIMB,129.0,0.0007279419898986816,0.04443643808364868,0.0
CLIMB,130.0,0.0007279419898986816,0.04443643808364868,2.0
CLIMB,131.0,0.0007216501235961914,0.04443643808364868,2.0
CLIMB,132.0,0.0007291507720947266,0.044302663803100585,1.0
CLIMB,133.0,0.0007293939590454102,0.040233266353607175,0.0
CLIMB,134.0,0.0007293939590454102,0.040233266353607175,2.0
CLIMB,135.0,0.0007293128967285156,0.040206923484802246,2.0
CLIMB,136.0,0.0007293128967285156,0.040206923484802246,3.0
CLIMB,137.0,0.0007291507720947266,0.04020442008972168,1.0
CLIMB,138.0,0.0007292318344116211,0.04022449016571045,0.0
CLIMB,139.0,0.0007293128967285156,0.040244560241699215,0.0
CLIMB,140.0,0.0007293939590454102,0.04026463031768799,0.0
CLIMB,141.0,,,2.0
CLIMB,142.0,,,2.0
CLIMB,143.0,,,1.0
CLIMB,144.0,0.0007024049758911133,0.03833998441696167,1.0
CLIMB,145.0,0.0007022666931152344,0.04196216583251953,1.0
CLIMB,146.0,0.0007021284103393555,0.04192382335662842,4.0
CLIMB,147.0,0.0007454919815063477,0.04210169792175293,2.0
CLIMB,148.0,0.0007450771331787109,0.04208876609802246,1.0
CLIMB,149.0,0.0007450771331787109,0.04208876609802246,3.0
CLIMB,150.0,0.0007442474365234375,0.042062902450561525,2.0
CLIMB,151.0,0.000743858814239502,0.045599396228790286,3.0
CLIMB,152.0,0.0007467174530029297,0.045599396228790286,2.0
CLIMB,153.0,0.0007465648651123046,0.04563901901245117,3.0
CLIMB,154.0,0.0007467174530029297,0.045670809745788576,1.0
CLIMB,155.0,0.0007470226287841796,0.04573439121246338,2.0
