run_id,k,window,lambda,w_window,p_miss,vip_stat,bad,rho_eff
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,9,4.200000,2,0.000000,0.054670,0,0.166642
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,10,4.700000,2,0.000000,0.043968,0,0.186480
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,11,4.600000,2,0.000000,0.049125,0,0.182513
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,12,4.400000,2,0.000000,0.044032,0,0.174577
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,14,3.700000,2,0.000000,0.044112,0,0.146804
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,16,3.800000,2,0.000000,0.043169,0,0.150771
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,17,4.000000,2,0.000000,0.043507,0,0.158707
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,18,3.900000,2,0.000000,0.042325,0,0.154739
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,20,17.500000,6,0.333333,9.607507,1,29.861008
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,22,17.500000,6,0.333333,16.673116,1,29.861008
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,23,15.100000,6,0.333333,6.022166,1,25.765784
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,28,15.100000,6,0.333333,4.296898,1,25.765784
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,29,14.500000,6,0.333333,6.244197,1,24.741978
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,30,14.500000,6,0.333333,5.305643,1,24.741978
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,32,17.300000,6,0.333333,7.587527,1,29.519740
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,34,18.400000,6,0.333333,10.500647,1,31.396717
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,39,15.800000,6,0.333333,9.685018,1,26.960225
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,41,4.200000,2,0.000000,0.046478,0,0.166642
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,42,4.100000,2,0.000000,0.042104,0,0.162674
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,44,4.100000,2,0.000000,0.046304,0,0.162674
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,46,3.000000,2,0.000000,0.045400,0,0.119030
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,47,4.100000,2,0.000000,0.044703,0,0.162674
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,48,3.900000,2,0.000000,0.049748,0,0.154739
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,52,3.200000,2,0.000000,0.042290,0,0.126965
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,54,4.100000,2,0.000000,0.039328,0,0.162674
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,55,4.900000,2,0.000000,0.050677,0,0.194416
seed=101__K=4__ts=20260118-223113__git=unknown__cfg=dfedaa,4,59,3.600000,2,0.000000,0.044529,0,0.142836
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,0,4.300000,2,0.000000,0.042656,0,0.170610
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,1,4.400000,2,0.000000,0.044459,0,0.174577
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,2,3.900000,2,0.000000,0.046512,0,0.154739
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,7,3.900000,2,0.000000,0.042315,0,0.154739
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,8,4.300000,2,0.000000,0.042371,0,0.170610
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,10,3.600000,2,0.000000,0.044240,0,0.142836
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,13,4.600000,2,0.000000,0.044130,0,0.182513
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,16,4.200000,2,0.000000,0.054710,0,0.166642
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,18,3.700000,2,0.000000,0.042987,0,0.146804
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,21,14.200000,6,0.333333,64.526643,1,24.230075
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,26,17.500000,6,0.333333,14.239068,1,29.861008
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,28,15.100000,6,0.333333,22.110790,1,25.765784
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,30,17.500000,6,0.333333,5.868890,1,29.861008
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,36,15.700000,6,0.333333,5.529497,1,26.789590
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,38,16.400000,6,0.333333,14.118908,1,27.984031
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,44,4.000000,2,0.000000,0.044143,0,0.158707
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,46,3.800000,2,0.000000,0.041568,0,0.150771
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,47,4.200000,2,0.000000,0.039431,0,0.166642
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,48,3.100000,2,0.000000,0.047635,0,0.122998
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,49,3.400000,2,0.000000,0.044494,0,0.134901
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,50,3.900000,2,0.000000,0.043950,0,0.154739
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,52,3.900000,2,0.000000,0.048699,0,0.154739
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,55,3.600000,2,0.000000,0.046681,0,0.142836
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,56,4.400000,2,0.000000,0.043079,0,0.174577
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,57,3.700000,2,0.000000,0.043881,0,0.146804
seed=102__K=4__ts=20260118-224120__git=unknown__cfg=1f4384,4,58,3.700000,2,0.000000,0.043201,0,0.146804
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,1,3.400000,2,0.000000,0.043282,0,0.134901
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,4,3.500000,2,0.000000,0.047234,0,0.138868
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,6,2.700000,2,0.000000,0.044831,0,0.107127
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,7,4.700000,2,0.000000,0.042984,0,0.186480
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,10,3.500000,2,0.000000,0.040772,0,0.138868
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,11,4.600000,2,0.000000,0.042924,0,0.182513
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,13,4.200000,2,0.000000,0.046362,0,0.166642
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,18,3.500000,2,0.000000,0.044009,0,0.138868
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,19,3.900000,5,0.200000,0.045368,0,4.054739
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,20,18.600000,6,0.333333,7.737640,1,31.737986
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,22,18.800000,6,0.333333,38.583021,1,32.079255
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,23,18.200000,6,0.333333,29.429206,1,31.055449
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,27,16.800000,6,0.333333,33.044569,1,28.666568
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,29,18.800000,6,0.333333,11.625244,1,32.079255
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,30,16.000000,6,0.333333,15.871735,1,27.301493
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,32,15.400000,6,0.333333,2.377167,1,26.277687
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,37,17.500000,6,0.333333,18.889921,1,29.861008
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,38,15.400000,6,0.333333,9.946670,1,26.277687
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,39,16.600000,6,0.333333,4.334362,1,28.325299
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,41,6.100000,2,0.000000,0.043027,0,0.242028
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,43,5.600000,2,0.000000,0.040926,0,0.222189
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,45,3.000000,2,0.000000,0.042514,0,0.119030
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,46,4.900000,2,0.000000,0.044919,0,0.194416
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,47,4.400000,2,0.000000,0.043710,0,0.174577
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,50,5.300000,2,0.000000,0.052885,0,0.210286
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,51,4.100000,2,0.000000,0.039867,0,0.162674
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,53,5.600000,2,0.000000,0.051843,0,0.222189
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,56,4.600000,2,0.000000,0.039121,0,0.182513
seed=103__K=4__ts=20260118-225128__git=unknown__cfg=d92b50,4,57,4.400000,2,0.000000,0.039877,0,0.174577
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,1,4.200000,2,0.000000,0.043253,0,0.166642
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,2,4.200000,2,0.000000,0.044383,0,0.166642
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,3,5.000000,2,0.000000,0.049294,0,0.198383
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,4,3.900000,2,0.000000,0.044746,0,0.154739
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,7,4.100000,2,0.000000,0.041879,0,0.162674
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,9,4.200000,2,0.000000,0.043479,0,0.166642
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,10,4.700000,2,0.000000,0.044158,0,0.186480
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,11,4.600000,2,0.000000,0.045675,0,0.182513
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,12,4.400000,2,0.000000,0.044188,0,0.174577
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,14,3.600000,2,0.000000,0.042062,0,0.142836
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,16,3.800000,2,0.000000,0.041758,0,0.150771
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,17,4.000000,2,0.000000,0.040825,0,0.158707
seed=101__K=4__ts=20260118-233158__git=unknown__cfg=437604,4,18,4.000000,2,0.000000,0.044394,0,0.158707
